codigo,descricao,gtin,preco,estoque
542435,BISC MARILAN TORTINHAS 375G BAUNILHA,7896003703870,7.99,1000
542834,BISC JASMINE ZERO 200G ROSCA COCO,7896283001581,9.9,0
542835,BISC JASMINE INT 200G ROSCA BAN,7896283000874,9.9,0
542841,BISC DELICIAS DA VOVO 180G JOELHINHO,7898129610568,14.9,12000
542883,BISC ARROZ CAMIL 90G INTEGRAL,7896006779513,5.99,24000
542896,MINI BISC ARROZ CAMIL 150G PIMENTA,7896006716464,8.99,17000
542897,MINI BISC ARROZ CAMIL 150G CHIA/LINHACA,7896006716471,8.99,11000
543010,CHOCKS ISABELA 100.8G,7896022086589,4.99,13000
543240,BISC RECH GLUB 115G CHOCO,7897426030017,1.69,197000
543241,BISC RECH GLUB 115G MORANGO,7897426030000,1.69,490000
543242,BISC RECH GLUB 115G DC LEITE,7897426030024,1.69,61000
543243,BISC RECH GLUB 100G CHOC BCO,7897426030031,1.69,24000
543325,BISC SALKIN 90G PIZZA,7897426020124,1.69,6000
543328,BISC SALKIN 90G BACON,7897426020759,1.69,65000
543393,BISC HEPP 140G POLVILHO QUEIJO,7898283150665,13.9,22000
543430,SNACK MUCILON 35G TRAD,7891000320242,4.99,9000
543432,SNACK MUCILON 35G TOMATE,7891000320280,4.99,5000
543481,SUSPIRO KLAIN 140G CHOC AO LEITE,7898963777830,8.49,10000
543505,BISC PIRAQUE 138G ORIG,7896024760449,5.99,103000
